"cell_id","cell_type_truth","batch","nCount_RNA","nFeature_RNA","percent_mt"
"Cell1","Type1","Batch1",615,319,18.5365853658537
"Cell2","Type2","Batch1",623,328,2.56821829855538
"Cell3","Type3","Batch1",628,335,2.54777070063694
"Cell4","Type1","Batch1",627,335,14.8325358851675
"Cell5","Type2","Batch1",613,314,2.28384991843393
"Cell6","Type3","Batch1",621,338,2.73752012882448
"Cell7","Type1","Batch1",622,325,17.2025723472669
"Cell8","Type2","Batch1",629,324,2.54372019077901
"Cell9","Type3","Batch1",598,321,3.84615384615385
"Cell10","Type1","Batch1",600,331,15
"Cell11","Type2","Batch1",625,322,4
"Cell12","Type3","Batch1",666,342,3.003003003003
"Cell13","Type1","Batch1",619,329,16.4781906300485
"Cell14","Type2","Batch1",616,334,3.8961038961039
"Cell15","Type3","Batch1",623,328,4.97592295345104
"Cell16","Type1","Batch1",611,322,17.1849427168576
"Cell17","Type2","Batch1",591,312,3.38409475465313
"Cell18","Type3","Batch1",604,332,3.47682119205298
"Cell19","Type1","Batch1",625,329,17.6
"Cell20","Type2","Batch1",614,326,3.09446254071661
"Cell21","Type3","Batch1",598,331,3.01003344481605
"Cell22","Type1","Batch1",645,325,16.5891472868217
"Cell23","Type2","Batch1",629,324,3.81558028616852
"Cell24","Type3","Batch1",647,341,4.17310664605873
"Cell25","Type1","Batch1",655,337,17.0992366412214
"Cell26","Type2","Batch1",625,322,3.2
"Cell27","Type3","Batch1",588,316,4.42176870748299
"Cell28","Type1","Batch1",597,332,15.5778894472362
"Cell29","Type2","Batch1",643,336,4.51010886469673
"Cell30","Type3","Batch1",593,318,4.04721753794266
"Cell31","Type1","Batch1",618,330,17.3139158576052
"Cell32","Type2","Batch1",649,335,3.38983050847458
"Cell33","Type3","Batch1",633,320,3.15955766192733
"Cell34","Type1","Batch1",646,341,15.015479876161
"Cell35","Type2","Batch1",625,326,2.24
"Cell36","Type3","Batch1",623,325,3.69181380417336
"Cell37","Type1","Batch1",576,317,15.1041666666667
"Cell38","Type2","Batch1",567,319,3.35097001763668
"Cell39","Type3","Batch1",612,330,2.45098039215686
"Cell40","Type1","Batch1",565,304,14.5132743362832
"Cell41","Type2","Batch1",598,314,3.51170568561873
"Cell42","Type3","Batch1",630,333,2.53968253968254
"Cell43","Type1","Batch1",625,327,16.96
"Cell44","Type2","Batch1",622,322,2.09003215434084
"Cell45","Type3","Batch1",649,331,2.92758089368259
"Cell46","Type1","Batch1",643,337,14.1524105754277
"Cell47","Type2","Batch1",636,317,2.67295597484277
"Cell48","Type3","Batch1",631,337,3.80348652931854
"Cell49","Type1","Batch1",642,325,18.8473520249221
"Cell50","Type2","Batch1",578,303,1.73010380622837
"Cell51","Type3","Batch1",602,313,3.32225913621263
"Cell52","Type1","Batch1",626,327,18.2108626198083
"Cell53","Type2","Batch1",667,347,3.29835082458771
"Cell54","Type3","Batch1",621,327,2.57648953301127
"Cell55","Type1","Batch1",637,321,19.7802197802198
"Cell56","Type2","Batch1",629,321,4.1335453100159
"Cell57","Type3","Batch1",633,320,3.00157977883096
"Cell58","Type1","Batch1",606,312,16.6666666666667
"Cell59","Type2","Batch1",611,334,2.7823240589198
"Cell60","Type3","Batch1",637,328,1.88383045525903
"Cell61","Type1","Batch1",612,329,13.8888888888889
"Cell62","Type2","Batch1",637,344,2.98273155416013
"Cell63","Type3","Batch1",586,327,4.43686006825939
"Cell64","Type1","Batch1",617,328,15.7212317666126
"Cell65","Type2","Batch1",632,322,2.84810126582278
"Cell66","Type3","Batch1",589,313,2.03735144312394
"Cell67","Type1","Batch1",601,340,14.6422628951747
"Cell68","Type2","Batch1",613,303,3.09951060358891
"Cell69","Type3","Batch1",610,318,3.44262295081967
"Cell70","Type1","Batch1",603,315,16.5837479270315
"Cell71","Type2","Batch1",592,324,3.04054054054054
"Cell72","Type3","Batch1",599,324,3.67278797996661
"Cell73","Type1","Batch1",604,332,16.7218543046358
"Cell74","Type2","Batch1",598,310,2.67558528428094
"Cell75","Type3","Batch1",584,321,2.73972602739726
"Cell76","Type1","Batch1",618,319,16.1812297734628
"Cell77","Type2","Batch1",621,332,3.38164251207729
"Cell78","Type3","Batch1",615,325,2.11382113821138
"Cell79","Type1","Batch1",602,323,14.9501661129568
"Cell80","Type2","Batch1",647,325,2.93663060278207
